LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID430942,430942,5,44.60799789428711,1.9125177201667876,5.466611990216018,1.1526272258007222,64.96957039833069,17,0.1,1,,38.44303797468354,39.0,19.0,57.0,3037.0,9.498646105202193,11.873417721518987,9.0,0.0,46.0,938.0,10.643846288370153,0.3446523283164481,2.0747090317197303,-0.09664250526008852,-0.2386798060157739
ID430959,430959,5,50.46103286743164,1.831660578576562,5.470518643285454,1.0910994699157424,68.79130983352661,18,0.1,1,,47.10126582278481,49.0,22.0,68.0,3721.0,12.311756875097444,33.30379746835443,26.0,3.0,120.0,2631.0,27.3783343270287,0.33623477975059063,1.9253177138762316,0.018059714647479845,0.04315730942644403
ID430977,430977,5,85.4735107421875,1.8702999333815264,5.423089183564359,0.9718474902402813,72.61304926872253,19,0.1,1,,78.17721518987342,78.0,44.0,110.0,6176.0,16.774338990126076,29.430379746835442,22.0,3.0,103.0,2325.0,24.35510979098363,0.31182671350638225,2.2156523783524045,0.05638069082501186,0.12898693066493783
ID430794,430794,31,9.482318878173828,6.0755342233141665,3.9553382588026853,3.2794470111750895,0.0,0,0.1,1,,9.139240506329115,9.0,4.0,13.0,722.0,2.1287662083047656,1.1139240506329113,1.0,0.0,3.0,88.0,0.8621282814320157,0.29605852009384365,1.961395103488255,0.1811640132731814,0.39634684973228596
ID430867,430867,31,15.545169830322266,6.071660372308218,3.991442889021958,3.3936033379300867,3.821739435195923,1,0.1,1,,12.417721518987342,13.0,6.0,19.0,981.0,3.1647400141799173,3.0,3.0,1.0,5.0,237.0,0.9198662110077999,0.3470314845152025,2.021738609135288,0.2934131736526946,1.4796837788181023
ID430843,430843,31,8.224695205688477,6.073394912037248,3.9728621430109015,3.4727425776931256,7.643478870391846,2,0.1,1,,8.544303797468354,8.0,5.0,12.0,675.0,1.8728660907025205,1.6329113924050633,1.0,0.0,3.0,129.0,0.8192744631039036,0.3011769493558371,2.1119582057763515,0.18655543774033242,0.626733739527652
ID430826,430826,31,7.5574188232421875,6.009424140398533,3.908702389156197,3.478899987337654,11.465218305587769,3,0.1,1,,5.1645569620253164,5.0,3.0,7.0,408.0,1.1371396836691916,0.8987341772151899,1.0,0.0,2.0,71.0,0.6905021715716383,0.32981444344350236,2.2528271777320126,-0.024799694772987387,-0.06619858577014218
ID430889,430889,31,4.37514591217041,5.485358668254187,3.985793262233732,2.983980520906531,34.395654916763306,9,0.1,1,,3.8227848101265822,4.0,2.0,6.0,302.0,1.0592630925570332,0.4050632911392405,0.0,0.0,2.0,32.0,0.5665683325337335,0.35306343418252417,1.8833914316158322,-0.18947442482234572,-0.3342600396641974
ID430895,430895,31,7.226828575134277,5.454947358457769,4.071146642529467,2.7204537124188595,38.21739435195923,10,0.1,1,,5.746835443037975,6.0,3.0,9.0,454.0,1.628813902502092,1.7468354430379747,1.0,0.0,6.0,138.0,1.2956372002320407,0.36115494963543465,1.8722907608604697,-0.033904732272210185,-0.09463220211993857
ID430950,430950,31,4.258092880249023,5.857244907665626,3.9092533662150317,3.3079359539792277,64.96957039833069,17,0.1,1,,3.2531645569620253,3.0,2.0,5.0,257.0,0.8543756819497929,0.4936708860759494,0.0,0.0,3.0,39.0,0.6769732358743811,0.35773300265617886,2.0064658958468287,-0.34386391251518833,-0.7643436957545804
ID430963,430963,31,6.159199237823486,5.9518924259613595,3.9181503699021567,3.261383285276441,68.79130983352661,18,0.1,1,,4.430379746835443,4.0,2.0,7.0,350.0,1.2055804464729363,5.582278481012659,5.0,0.0,18.0,441.0,4.253528233628476,0.3661498427843435,1.969859579447981,0.027250345360841432,0.06962863618960898
ID430981,430981,31,6.098329544067383,5.992316136467397,4.039877572589393,3.275393108137408,72.61304926872253,19,0.1,1,,5.987341772151899,6.0,4.0,8.0,473.0,1.2454395875792776,0.9746835443037974,1.0,0.0,3.0,77.0,0.8911917049558692,0.2932232610065998,2.180049178625332,0.10015279899986104,0.1991281124978187
