LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID590556,590556,8,2.112290620803833,3.740851921979655,4.36318501748975,2.702452237728889,64.98381304740906,17,0.1,1,,1.0126582278481013,1.0,0.0,2.0,80.0,0.2993013611248337,0.05063291139240506,0.0,0.0,1.0,4.0,0.2206478908203439,0.45370113318022365,2.1119271556834187,-0.49526813880126186,-0.450342345164322
ID590730,590730,8,3.0264101028442383,3.664424131445928,4.349620700598419,2.4425559551675606,68.80639028549194,18,0.1,1,,2.0126582278481013,2.0,1.0,3.0,159.0,0.6886194082267529,0.0,0.0,0.0,0.0,0.0,0.0,0.3767558206657688,1.5996457601646132,-1.0,-Infinity
ID589268,589268,10,143.99212646484375,3.593574104224146,3.1323961889838468,2.7620576587695194,0.0,0,0.1,1,,138.79746835443038,136.0,80.0,197.0,10965.0,28.63178247800118,9.556962025316455,8.0,1.0,25.0,755.0,6.213605492504989,0.30805457285592913,2.2833103800798393,0.13726228582187908,0.37127590866513366
ID589215,589215,10,129.79994201660156,3.6464502911996806,3.155774796607561,2.8305353021118442,3.8225772380828857,1,0.1,1,,124.60759493670886,128.0,67.0,173.0,9844.0,26.31243136126938,17.60759493670886,15.0,4.0,41.0,1391.0,9.557407814962826,0.3082403667963646,2.2315955998749346,0.18728076050838077,0.5812054132747803
ID589640,589640,10,115.34358978271484,3.6986092941130377,3.156507499486526,2.8267492477963674,7.6451544761657715,2,0.1,1,,115.54430379746836,114.0,72.0,161.0,9128.0,23.278028304662698,18.050632911392405,16.0,5.0,33.0,1426.0,7.890108598546138,0.30712491032629397,2.332546419507969,0.25228082158364634,0.9217686984631304
ID589467,589467,10,97.66372680664062,3.6361106430596006,3.1331559806198164,2.7889528857912893,11.467731714248657,3,0.1,1,,81.18987341772151,80.0,44.0,119.0,6414.0,19.276713698382625,7.025316455696203,6.0,1.0,19.0,555.0,4.5684949088190105,0.3543447671523415,2.203919118523326,0.11240402870648239,0.3107721314080803
ID589358,589358,10,91.45582580566406,3.6092060115708637,3.1489106390275023,2.7437010335273784,15.290308952331543,4,0.1,1,,75.41772151898734,77.0,36.0,111.0,5958.0,20.059915123000067,3.0126582278481013,3.0,0.0,9.0,238.0,1.9381042209947956,0.35452617034135336,1.9680458460581052,0.014288589253370943,0.043795606629841645
ID589148,589148,10,65.90322875976562,3.4869930206014206,3.176034220624014,2.7115137659284603,19.11288619041443,5,0.1,1,,58.0253164556962,59.0,25.0,84.0,4584.0,15.124250084010784,7.924050632911392,5.0,0.0,36.0,626.0,7.633885578330637,0.3442541492719682,1.9650402985309068,-0.09001156867614374,-0.20534968957421526
ID589712,589712,10,59.17750549316406,3.353239482106383,3.1184167306999147,2.7361945294257044,22.935463428497314,6,0.1,1,,51.9746835443038,52.0,27.0,76.0,4106.0,12.873123147785817,48.607594936708864,42.0,8.0,114.0,3840.0,27.636568918326486,0.34548324290079546,2.0734168316848107,0.21439991566667257,0.6210304377141084
ID589565,589565,10,55.85425567626953,3.1615752862388757,3.074976723185391,2.8160456308948008,26.7580406665802,7,0.1,1,,50.88607594936709,52.0,26.0,73.0,4020.0,12.365157149324512,10.164556962025317,9.0,1.0,26.0,803.0,6.475655356888669,0.3381297159202023,2.0797658448139904,0.09899635036496351,0.2827858383080819
ID589803,589803,10,117.44049835205078,3.0612475453617862,2.956437135339341,2.597017518212104,30.580617904663086,8,0.1,1,,94.0,94.0,47.0,138.0,7426.0,24.423611946491874,2.2278481012658227,1.0,0.0,11.0,176.0,2.369406325560334,0.3490133545943791,1.9914699347274558,-0.2668957617411226,-0.6846237731515128
ID589872,589872,10,120.94205474853516,2.95817755597823,2.8561016607609635,2.595512106811391,34.40319514274597,9,0.1,1,,110.0,110.0,55.0,155.0,8690.0,25.48956548703702,0.02531645569620253,0.0,0.0,1.0,2.0,0.1580882214188629,0.31613932464770006,2.0731794926562803,-0.8142175203199586,-1.403683111457551
ID590246,590246,10,67.46941375732422,2.864931254562059,2.8114515531296544,2.6465310190895903,38.22577238082886,10,0.1,1,,65.72151898734177,67.0,36.0,92.0,5192.0,14.016415933176866,22.658227848101266,18.0,3.0,73.0,1790.0,16.814131782177913,0.3097100814574757,2.21758759490579,0.12993260558706432,0.3099182100738875
ID590397,590397,10,53.57209777832031,2.7192789600145986,2.7538384274336787,2.761140233932081,42.04834961891174,11,0.1,1,,51.25316455696203,51.0,32.0,71.0,4049.0,9.978783074707108,0.6835443037974683,0.0,0.0,3.0,54.0,0.8093096741378012,0.3002395065362538,2.372015810587549,-0.005906266779166992,-0.010036161841079541
ID590192,590192,10,53.84621810913086,2.723898852767295,2.606705334759293,2.746685735335032,45.87092685699463,12,0.1,1,,43.24050632911393,44.0,21.0,64.0,3416.0,11.189756292886374,4.468354430379747,4.0,0.0,15.0,353.0,3.6368323884235476,0.3532285752013733,2.017366515551197,0.008339350466955957,0.02032262640713544
ID590329,590329,10,36.53641891479492,2.6501028893094944,2.4178187612467763,2.8522738511539316,49.693504095077515,13,0.1,1,,33.46835443037975,33.0,16.0,50.0,2644.0,8.933996497157928,9.08860759493671,7.0,1.0,31.0,718.0,7.118394145861762,0.3398054562614411,1.9002344324976717,0.036411533326116054,0.08971231177300866
ID589956,589956,10,60.87299346923828,2.504686166200272,2.3388115801238807,2.691918054085978,53.5160813331604,14,0.1,1,,49.74683544303797,49.0,27.0,75.0,3930.0,12.592700729075588,18.417721518987342,18.0,7.0,33.0,1455.0,6.456178902727074,0.3615353746098866,2.097965975182798,0.19204484164100746,0.9191796378423371
ID590067,590067,10,73.84322357177734,2.302667989778089,2.2871098761741573,2.605283086237991,57.338658571243286,15,0.1,1,,59.29113924050633,61.0,27.0,88.0,4684.0,15.195437826425856,0.6455696202531646,0.0,0.0,4.0,51.0,0.9745212458188987,0.3554493607546352,2.046449411413649,-0.387928591669028,-0.8397141387595747
ID590451,590451,10,64.961669921875,2.156383655238137,2.204704163376079,2.711320455913898,61.16123580932617,16,0.1,1,,50.70886075949367,51.0,23.0,77.0,4006.0,13.906419748589254,2.3544303797468356,1.0,0.0,12.0,186.0,2.7411300995492676,0.36629445115778714,1.9551701161477935,-0.25440110459095616,-0.5861380791916688
ID590551,590551,10,52.969093322753906,2.024505438643347,2.1747950642999876,2.584490244996911,64.98381304740906,17,0.1,1,,44.924050632911396,46.0,19.0,66.0,3549.0,12.444514960929093,3.278481012658228,3.0,1.0,6.0,259.0,1.4844208821638458,0.3407019261493227,1.8347347436143138,0.29608907484761504,1.009097537700454
ID590735,590735,10,61.48224639892578,1.954176362528287,2.0282317054275514,2.6760637258486164,68.80639028549194,18,0.1,1,,48.936708860759495,49.0,22.0,73.0,3866.0,13.224241311330685,7.518987341772152,7.0,4.0,12.0,594.0,2.043506033779721,0.3574041021739766,1.9486972135038667,0.31309409770834873,1.7546579012574293
ID590654,590654,10,39.3887939453125,1.8693719758582075,1.9806324608837793,2.757429253560149,72.62896752357483,19,0.1,1,,32.51898734177215,32.0,15.0,49.0,2569.0,8.81557589999404,15.227848101265822,16.0,5.0,26.0,1203.0,5.446592364670535,0.35450039214078116,1.9308738660580804,0.3222403712580335,1.362740599765674
