,,,,,TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,mt length,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.133136444,7.10043859,1.602913473,38.2174015,10,119.952381,111,98,156,2519,18.59160077,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,4.16428556,6.927406424,1.618965823,42.03914165,11,95.52380952,94,73,122,2006,14.93190895,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.943452341,7.141550668,2.261911765,49.68262196,13,14.71428571,14,12,19,309,2.028370211,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.889829428,7.147650079,2.034307728,53.50436211,14,12.19047619,12,9,15,256,1.749829924,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.977098927,7.617888233,2.766073444,57.32610226,15,12.57142857,12,11,16,264,1.535298947,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.836630597,7.121924531,2.013257331,61.14784241,16,16.85714286,16,11,24,354,4.016039271,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.818453202,6.432727415,2.095652744,64.96958256,17,6.80952381,7,5,9,143,1.077916862,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.902494965,6.533954428,1.649056341,68.79132271,18,41.61904762,41,30,55,874,7.625458612,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,3.892119593,7.087770302,1.597146195,72.61306286,19,46.28571429,48,28,60,972,9.182281074,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,5.314083432,5.71226584,1.013924814,15.2869606,4,6.80952381,7,4,9,143,1.569045813,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,5.256208653,6.462432571,1.526242631,19.10870075,5,30.85714286,31,21,39,648,5.985697238,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.453248712,6.46426891,1.440783608,38.2174015,10,52.19047619,52,33,68,1096,10.24509174,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,4.890680142,7.353042136,1.636739528,42.03914165,11,32.23809524,31,25,41,677,4.646555304,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.030503513,6.986437496,1.490022741,45.86088181,12,52.23809524,52,37,70,1097,10.2318364,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.264300137,6.855552453,1.450052867,49.68262196,13,36.80952381,35,28,48,773,6.104253006,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.095689727,6.490602568,1.959798831,53.50436211,14,23.28571429,23,16,29,489,3.716757419,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.531101247,6.165464417,2.660158181,57.32610226,15,6.333333333,7,4,8,133,1.154700538,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,4.679515504,6.343324781,1.679545128,61.14784241,16,20.76190476,21,15,26,436,3.360130383,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,5.149374097,5.731019207,2.508498153,64.96958256,17,7.619047619,8,6,10,160,1.321975434,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,4.695083945,6.498535789,1.221810601,61.14784241,16,14.61904762,15,10,19,307,2.765432886,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,3.917660138,6.074184016,1.197381713,64.96958256,17,32.33333333,32,25,42,679,5.416025603,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,4.212872487,7.292909634,0.779337827,22.9304409,6,13.0952381,13,9,18,275,3.015041657,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,4.730662103,6.56507368,1.077446973,26.75218105,7,5.095238095,5,3,7,107,1.135991281,,,,,,,,,,,,,,,,,,,,,,,,,,
